Code_etablissement;Appellation_officielle;Denomination_principale;Patronyme_uai;Secteur_Public_Prive;Adresse;Lieu_dit;Boite_postale;Code_postal;Localite_acheminement;Commune;Coordonnee_X;Coordonnee_Y;EPSG;Latitude;Longitude;Qualite_appariement;Localisation;Code_nature;Nature;Code_etat_etablissement;Etat_etablissement;Code_departement;Code_region;Code_academie;Code_commune;Departement;Region;Academie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
9830044F;Ecole primaire de Kouaoua;ECOLE PRIMAIRE;DE KOUAOUA;Public;Village KOUAOUA;;83;98818;KOUAOUA;Kouaoua;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98833;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830492T;GOD de Kouaoua;COLLEGE;ANNEXE DE KOUAOUA;Public;;KOUAOUA;;98818;KOUAOUA;Kouaoua;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98833;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-03-01
9830251F;Ecole primaire privée Sainte Thérèse de Touaourou - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;STE THERESE TOUAOUROU (DDEC);Privé;ROUTE DE TOUAOUROU;TOUAOUROU;;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830477B;Collège de Yaté;COLLEGE;DE YATE;Public;;;10;98834;YATE;Yaté;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1992-09-01
9830252G;Ecole primaire privée Sacré-Coeur d'Unia - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;SACRE-COEUR UNIA (DDEC);Privé;ROUTE DE UNIA;UNIA;19;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830042D;ECOLE PRIMAIRE GS LE BANIAN (YATE);ECOLE PRIMAIRE;GS LE BANIAN (YATE);Public;39 LOTISSEMENT MUNICIPAL;WAHO;15;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830438J;Ecole primaire privée de Oundjo - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE OUNDJO (FELP);Privé;ROUTE DE OUNDJO;OUNDJO;;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1986-03-01
9830204E;Ecole primaire privée de Tiéta - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE TIETA  (FELP);Privé;ROUTE DE TIETA;TRIBU DE TIETA;;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830106Y;Ecole primaire de Voh;ECOLE PRIMAIRE PUBLIQUE;DE VOH;Public;Village DE VOH;;203;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830550F;Ecole maternelle de Boyen;ECOLE MATERNELLE PUBLIQUE;DE BOYEN;Public;Route BOYEN;;203;98833;VOH;Voh;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1998-02-25
