Num_Acc;jour;mois;an;hrmn;dep;com;lat;long
201900000833;20;9;2019;18:50;93;93045;48,884;2,4182
201900000684;28;11;2019;08:30;93;93045;48,87834;2,42251
201900000410;9;6;2019;17:55;93;93045;48,8791225;2,4136448
201900000409;11;6;2019;20:15;93;93045;48,8795811;2,4157047
201900000408;17;6;2019;08:55;93;93045;48,883715;2,423349
201900058679;16;5;2019;03:04;93;93039;48,950412;2,3067648
201900056023;25;3;2019;09:58;93;93039;48,935746;2,339487
201900055377;2;1;2019;19:20;93;93039;48,9358;2,34082
201900053556;21;10;2019;09:00;93;93039;48,950495;2,3078381
201900052483;30;3;2019;15:20;93;93039;48,95032;2,30678
201900048216;8;1;2019;22:09;93;93039;48,9296824;2,3384502
201900046533;27;9;2019;15:45;93;93039;48,91979;2,32896
201900045268;17;7;2019;00:10;93;93039;48,935242;2,340961
201900034286;23;7;2019;14:15;93;93039;48,93437;2,34104
201900024997;29;6;2019;18:30;93;93039;48,93421;2,33938
201900023636;10;3;2019;09:00;93;93039;48,92068;2,32977
201900013488;18;3;2019;09:10;93;93039;48,92685;2,33614
201900012244;20;4;2019;12:30;93;93039;48,935766;2,339607
201900011443;14;9;2019;08:50;93;93039;48,935242;2,340961
201900010917;5;7;2019;14:40;93;93039;48,9505;2,30687
201900007823;9;2;2019;00:20;93;93039;48,95037;2,30682
201900005760;8;7;2019;08:30;93;93039;48,91974;2,3289
201900002766;19;5;2019;22:10;93;93039;48,9273;2,3334
201900002765;20;5;2019;11:30;93;93039;48,9273;2,33337
201900049796;11;1;2019;20:30;93;93033;48,86123;2,57435
201900038490;22;6;2019;15:15;93;93033;48,867449;2,571864
201900035574;1;9;2019;16:54;93;93033;48,85527;2,57558
201900033659;21;1;2019;16:35;93;93033;48,86058;2,58015
201900031321;14;12;2019;18:15;93;93033;48,858;2,58179
201900019213;13;10;2019;20:39;93;93033;48,86201;2,58352
201900000392;3;6;2019;13:30;93;93033;48,859644;2,57078
201900054739;2;12;2019;08:00;93;93032;48,89476;2,54375
201900047775;23;2;2019;16:50;93;93032;48,88361;2,52936
201900046207;1;11;2019;05:00;93;93032;48,8678451;2,5576445
201900045929;7;1;2019;09:20;93;93032;48,88282;2,52624
201900045928;13;1;2019;19:50;93;93032;48,87614;2,54981
201900043779;14;5;2019;09:45;93;93032;48,8845;2,53215
201900043778;15;5;2019;16:10;93;93032;48,88365;2,53031
201900043777;22;5;2019;18:00;93;93032;48,89192;2,53131
201900043776;25;5;2019;07:30;93;93032;48,88067;2,54738
201900043775;27;5;2019;14:00;93;93032;48,88492;2,53501
201900042859;14;1;2019;08:00;93;93032;48,87695;2,53141
201900042677;29;9;2019;07:05;93;93032;48,89914;2,54215
201900041211;27;8;2019;16:50;93;93032;48,89302;2,5428
201900041210;28;8;2019;13:19;93;93032;48,876;2,549
201900040003;9;12;2019;00:20;93;93032;48,899255;2,539334
201900037811;21;7;2019;23:40;93;93032;48,87257;2,55955
201900036039;20;7;2019;23:05;93;93032;48,88294;2,52662
201900031799;4;9;2019;10:15;93;93032;48,8745;2,55662
201900031205;16;12;2019;18:50;93;93032;48,89875;2,5374
201900031204;18;12;2019;14:30;93;93032;48,88175;2,53954
201900031203;18;12;2019;20:10;93;93032;48,8744;2,5668
201900031035;9;11;2019;10:40;93;93032;48,8871;2,53613
201900030710;26;7;2019;21:45;93;93032;48,89691;2,53783
201900030709;27;7;2019;15:37;93;93032;48,87626;2,549761
201900027532;12;11;2019;13:30;93;93032;48,87247;2,56686
201900025016;26;6;2019;09:25;93;93032;48,88509;2,53218
201900025015;27;6;2019;08:20;93;93032;48,88359;2,52969
201900025014;3;7;2019;12:35;93;93032;48,88903;2,52629
201900024073;27;1;2019;19:45;93;93032;48,87874;2,54719
201900020161;15;11;2019;13:50;93;93032;48,89256;2,543
201900019788;31;7;2019;23:10;93;93032;48,883269;2,528391
201900013428;19;3;2019;23:20;93;93032;48,87695;2,5492
201900012269;21;4;2019;04:30;93;93032;48,88296;2,52676
201900011074;21;11;2019;09:05;93;93032;48,8719374;2,5592231
201900010929;6;7;2019;17:00;93;93032;48,89924;2,53944
201900010102;18;10;2019;14:40;93;93032;48,87;2,56
201900008166;21;3;2019;08:37;93;93032;48,895161;2,543763
201900008165;16;4;2019;19:20;93;93032;48,88361;2,52936
201900008164;17;4;2019;16:00;93;93032;48,87626;2,56888
201900006229;8;2;2019;17:03;93;93032;48,88164;2,53446
201900002045;27;11;2019;01:30;93;93032;48,87561;2,55043
201900001698;16;8;2019;09:24;93;93032;48,89863;2,53727
201900000835;18;9;2019;17:00;93;93032;48,88288;2,53507
201900000415;24;5;2019;19:44;93;93032;48,8771;2,53176
201900000414;4;6;2019;17:10;93;93032;48,88083;2,54264
201900000413;7;6;2019;08:45;93;93032;48,88117;2,54787
201900000412;8;6;2019;13:50;93;93032;48,88282;2,53489
201900000411;15;6;2019;22:35;93;93032;48,88286;2,52644
201900058300;26;3;2019;20:40;93;93031;48,95283;2,3156
201900057710;14;2;2019;15:10;93;93031;48,957255;2,309911
201900057686;13;2;2019;13:00;93;93031;48,94697;2,34296
201900057389;25;10;2019;16:30;93;93031;48,949712;2,330508
201900056117;19;8;2019;13:50;93;93031;48,95277;2,32754
201900055407;23;9;2019;19:40;93;93031;48,95395;2,30776
201900052497;28;3;2019;19:55;93;93031;48,95265;2,31503
201900052495;28;3;2019;22:10;93;93031;48,95662;2,30411
201900050972;2;12;2019;09:00;93;93031;48,94971;2,32938
201900049806;11;1;2019;16:10;93;93031;48,95849;2,30104
201900047776;22;2;2019;13:50;93;93031;48,95451;2,31771
201900046537;25;9;2019;09:10;93;93031;48,95953;2,31042
201900046208;3;11;2019;12:00;93;93031;48,96108;2,297
201900046060;5;11;2019;13:00;93;93031;48,95193;2,32084
201900044723;28;9;2019;20:30;93;93031;48,9538866;2,3355248
201900043786;2;5;2019;14:00;93;93031;48,9617;2,302
201900043785;9;5;2019;20:10;93;93031;48,95441;2,32836
201900043784;11;5;2019;11:30;93;93031;48,957035;2,320801
201900043781;19;5;2019;01:30;93;93031;48,96;2,3
201900043780;25;5;2019;02:20;93;93031;48,96;2,3
201900042679;29;9;2019;17:10;93;93031;48,960432;2,31632
201900041641;18;7;2019;19:30;93;93031;48,950384;2,340504
201900041640;20;7;2019;00:40;93;93031;48,96435;2,2987
201900040974;26;2;2019;14:05;93;93031;48,963719;2,297804
201900040422;1;11;2019;03:35;93;93031;48,95921;2,30568
201900038782;30;9;2019;08:10;93;93031;48,96217;2,29576
201900038493;21;6;2019;11:40;93;93031;48,950361;2,338536
201900037284;17;1;2019;13:30;93;93031;48,94659;2,34552
201900037283;18;1;2019;13:30;93;93031;48,96565;2,34446
201900036924;3;10;2019;07:55;93;93031;48,95969;2,30519
201900036270;13;12;2019;17:00;93;93031;48,95435;2,32825
201900035577;1;9;2019;00:38;93;93031;48,95259;2,33726
201900035576;1;9;2019;12:25;93;93031;48,9625;2,29273
201900035159;3;10;2019;12:25;93;93031;48,95561;2,29621
201900035158;4;10;2019;14:25;93;93031;48,94847;2,33113
201900031831;25;6;2019;09:45;93;93031;48,949853;2,3296648
201900031710;22;1;2019;09:31;93;93031;48,95299;2,31306
201900031324;16;12;2019;07:20;93;93031;48,951565;2,307065
201900030704;21;7;2019;23:37;93;93031;48,9515762;2,3070836
201900030551;9;3;2019;16:00;93;93031;48,95476;2,30786
201900027711;20;12;2019;17:00;93;93031;48,95882;2,31282
201900027534;12;11;2019;21:30;93;93031;48,952;2,316
201900026666;15;4;2019;16:40;93;93031;48,95276;2,32969
201900025929;9;10;2019;18:40;93;93031;48,96237;2,29602
201900025331;10;3;2019;16:40;93;93031;48,9527;2,32755
201900025017;27;6;2019;14:30;93;93031;48,95933;2,30025
201900024431;23;12;2019;17:05;93;93031;48,952945;2,30741
201900022807;9;9;2019;07:40;93;93031;48,949502;2,330631
201900022181;14;11;2019;11:15;93;93031;48,95286;2,31569
201900020818;12;10;2019;13:10;93;93031;48,95789;2,3256
201900019789;3;8;2019;12:38;93;93031;48,96335;2,29743
201900018840;31;1;2019;08:15;93;93031;48,95708;2,32139
201900018839;1;2;2019;08:58;93;93031;48,94856;2,33605
201900018690;27;12;2019;15:00;93;93031;48,957116;2,321045
201900018575;14;3;2019;17:23;93;93031;48,95314;2,33737
201900018574;15;3;2019;15:50;93;93031;48,95018;2,32844
201900016502;18;11;2019;18:00;93;93031;48,95658;2,2999
201900016095;3;7;2019;07:00;93;93031;48,95773;2,30956
201900015924;4;8;2019;17:30;93;93031;48,95008;2,32846
201900014922;30;12;2019;09:12;93;93031;48,94982;2,33153
201900013783;16;10;2019;19:00;93;93031;48,95258;2,30732
201900013674;5;2;2019;07:30;93;93031;48,948062;2,338738
201900012913;19;11;2019;07:40;93;93031;48,95736;2,31002
201900012273;19;4;2019;17:15;93;93031;48,94998;2,3284
201900012271;24;4;2019;18:50;93;93031;48,960324;2,297977
201900012270;25;4;2019;18:00;93;93031;48,946487;2,334301
201900012005;17;10;2019;14:05;93;93031;48,95444;2,31768
201900010667;6;8;2019;22:42;93;93031;48,95698;2,31061
201900009576;14;9;2019;16:45;93;93031;48,95;2,32
201900009336;31;12;2019;20:30;93;93031;48,94881;2,34042
201900008170;20;3;2019;11:45;93;93031;48,95946;2,30154
201900008169;20;3;2019;17:40;93;93031;48,956772;2,320349
201900008168;20;3;2019;20:26;93;93031;48,95478;2,30747
201900008167;21;3;2019;17:50;93;93031;48,952979;2,307388
201900006218;25;1;2019;03:45;93;93031;48,9515;2,32217
201900006043;17;9;2019;18:40;93;93031;48,9543;2,31197
201900005765;8;7;2019;14:20;93;93031;48,9652658;2,2986916
201900005623;22;12;2019;19:00;93;93031;48,947239;2,342846
201900000422;4;6;2019;07:55;93;93031;48,95034;2,34053
201900000420;9;6;2019;16:59;93;93031;48,95232;2,3319
201900000419;10;6;2019;19:15;93;93031;48,95524;2,29289
201900000418;11;6;2019;13:00;93;93031;48,947;2,34275
201900000416;14;6;2019;17:10;93;93031;48,953589;2,327234
201900053990;10;7;2019;11:40;93;93030;48,95375;2,41639
201900047779;21;2;2019;17:40;93;93030;48,94774;2,41376
201900043799;17;5;2019;09:44;93;93030;48,95476;2,41671
201900043797;20;5;2019;12:40;93;93030;48,94402;2,417794
201900043795;22;5;2019;14:30;93;93030;48,94962;2,41502
201900037747;2;4;2019;09:20;93;93030;48,9393;2,41896
201900036925;3;10;2019;06:25;93;93030;48,95139;2,4167
201900022731;10;10;2019;20:11;93;93030;48,949106;2,438572
201900022435;24;12;2019;07:00;93;93030;48,95189;2,41635
201900019006;11;9;2019;17:10;93;93030;48,95786;2,41593
201900015013;17;3;2019;09:30;93;93030;48,95386;2,44516
201900015012;18;3;2019;17:00;93;93030;48,949608;2,41487
201900014321;14;6;2019;08:15;93;93030;48,93964;2,42094
201900011527;14;9;2019;15:30;93;93030;48,9397577;2,4194524
201900010930;5;7;2019;09:25;93;93030;48,952306;2,441572
201900010104;7;10;2019;03:15;93;93030;48,949106;2,438572
201900008176;21;3;2019;18:45;93;93030;48,9528;2,4165
201900008174;23;3;2019;22:20;93;93030;48,95443;2,41626
201900004776;20;10;2019;22:40;93;93030;48,9401046;2,4209125
201900000432;13;6;2019;20:30;93;93030;48,94869;2,43822
201900057185;10;7;2019;10:00;93;93029;48,92433;2,45495
201900055409;23;9;2019;17:10;93;93029;48,9147;2,469
201900054306;20;8;2019;11:40;93;93029;48,92;2,45
201900053432;23;9;2019;22:30;93;93029;48,92994;2,43212
201900052498;29;3;2019;08:25;93;93029;48,91816;2,4398
201900051417;20;2;2019;16:30;93;93029;48,91997;2,45177
201900050472;30;3;2019;10:40;93;93029;48,91686;2,42918
201900050203;24;9;2019;18:39;93;93029;48,9195;2,45071
201900050202;25;9;2019;07:15;93;93029;48,92;2,45
201900049808;8;1;2019;14:45;93;93029;48,92482;2,44202
201900048807;15;7;2019;13:50;93;93029;48,91914;2,44972
201900047777;23;2;2019;12:30;93;93029;48,920358;2,457645
201900046212;4;11;2019;04:19;93;93029;48,93629;2,45126
201900045857;24;2;2019;20:25;93;93029;48,917014;2,44546
201900045856;24;2;2019;21:30;93;93029;48,920142;2,451947
201900045271;17;7;2019;12:40;93;93029;48,91542;2,44227
201900044724;28;9;2019;01:00;93;93029;48,92385;2,43806
201900043791;5;5;2019;20:00;93;93029;48,91503;2,42951
201900043790;6;5;2019;15:35;93;93029;48,91789;2,46677
201900043789;11;5;2019;11:41;93;93029;48,91977;2,42023
201900043787;13;5;2019;12:40;93;93029;48,92004;2,45114
201900043554;10;12;2019;21:00;93;93029;48,9162207;2,4304747
201900041643;18;7;2019;11:20;93;93029;48,9152;2,461763
201900041642;19;7;2019;18:20;93;93029;48,91946;2,45059
201900040976;1;3;2019;22:05;93;93029;48,9266;2,43878
201900038783;2;10;2019;13:05;93;93029;48,91782;2,46789
201900037285;19;1;2019;12:15;93;93029;48,93078;2,46305
201900036658;6;11;2019;08:45;93;93029;48,917606;2,429239
201900033661;20;1;2019;13:45;93;93029;48,935221;2,451609
201900033048;14;12;2019;18:40;93;93029;48,92053;2,45308
201900032471;10;4;2019;00:30;93;93029;48,91672;2,44486
201900031525;5;10;2019;06:30;93;93029;48,92;2,44
201900031207;19;12;2019;20:00;93;93029;48,9204;2,43655
201900031206;18;12;2019;19:55;93;93029;48,92271;2,44057
201900031149;9;11;2019;11:20;93;93029;48,91919;2,46053
201900030553;9;3;2019;14:10;93;93029;48,92333;2,44597
201900030321;10;4;2019;16:50;93;93029;48,92074;2,45302
201900030320;11;4;2019;20:26;93;93029;48,91465;2,46118
201900026667;15;4;2019;20:00;93;93029;48,91586;2,44299
201900026458;6;9;2019;10:35;93;93029;48,91969;2,4517
201900025018;29;6;2019;05:00;93;93029;48,91737;2,45634
201900024329;22;12;2019;17:27;93;93029;48,91867;2,4285
201900023137;3;6;2019;16:00;93;93029;48,92351;2,4272
201900022182;15;11;2019;15:20;93;93029;48,91734;2,44642
201900020928;11;10;2019;12:50;93;93029;48,919;2,4352
201900020163;16;11;2019;10:00;93;93029;48,92887;2,43472
201900020162;16;11;2019;20:55;93;93029;48,92;2,44
201900018841;1;2;2019;08:15;93;93029;48,930226;2,42406
201900018577;14;3;2019;08:33;93;93029;48,91965;2,47086
201900018576;15;3;2019;22:20;93;93029;48,93046;2,45484
201900016097;3;7;2019;14:15;93;93029;48,91651;2,44448
201900016096;3;7;2019;19:00;93;93029;48,92849;2,43038
201900015925;6;8;2019;11:35;93;93029;48,91971;2,4558
201900015011;17;3;2019;01:50;93;93029;48,92026;2,45796
201900014298;18;6;2019;13:50;93;93029;48,92608;2,42243
201900012914;21;11;2019;09:40;93;93029;48,92304;2,44658
201900012274;20;4;2019;23:50;93;93029;48,92256;2,45676
201900012060;17;10;2019;08:30;93;93029;48,91912;2,42853
201900011447;14;9;2019;18:13;93;93029;48,91801;2,44778
201900010668;5;8;2019;15:25;93;93029;48,9191;2,45
201900008172;21;3;2019;05:45;93;93029;48,93024;2,4314
201900007326;7;7;2019;21:30;93;93029;48,928;2,4519
201900004209;7;7;2019;00:10;93;93029;48,9226;2,4273
201900003485;23;3;2019;17:25;93;93029;48,92624;2,42252
201900002845;5;5;2019;22:00;93;93029;48,92594;2,42341
201900002390;19;9;2019;18:00;93;93029;48,91716;2,43613
201900000428;1;6;2019;14:20;93;93029;48,91367;2,43624
201900000427;31;5;2019;15:30;93;93029;48,91686;2,47023
201900000426;4;6;2019;09:40;93;93029;48,91973;2,43333
201900000425;4;6;2019;18:22;93;93029;48,93098;2,45528
201900000424;4;6;2019;17:55;93;93029;48,91406;2,46166
201900000423;18;6;2019;11:20;93;93029;48,922474;2,440516
201900058685;11;6;2019;18:30;93;93027;48,92891;2,38417
201900058119;21;9;2019;10:50;93;93027;48,92943;2,38605
201900058115;21;9;2019;16:05;93;93027;48,92873;2,38358
201900056695;1;12;2019;05:30;93;93027;48,92421;2,38719
201900056199;18;8;2019;10:05;93;93027;48,92641;2,40285
201900055897;27;3;2019;18:45;93;93027;48,92254;2,37942
201900055891;29;3;2019;16:30;93;93027;48,93401;2,38949
201900055858;9;7;2019;19:10;93;93027;48,934363;2,396613
201900055379;1;1;2019;14:40;93;93027;48,92997;2,3966
201900055143;26;10;2019;22:10;93;93027;48,91902;2,40868
201900053989;13;7;2019;07:30;93;93027;48,930232;2,386048
201900053622;20;9;2019;17:00;93;93027;48,93784;2,41358
201900053600;22;9;2019;16:10;93;93027;48,92829;2,41226
201900053433;24;9;2019;21:20;93;93027;48,91832;2,40788
201900052503;28;3;2019;09:30;93;93027;48,92145;2,38479
201900051931;24;9;2019;21:45;93;93027;48,9286;2,4145
201900051734;11;1;2019;07:35;93;93027;48,92786;2,40957
201900051418;19;2;2019;14:30;93;93027;48,93896;2,38788
201900050084;24;9;2019;19:45;93;93027;48,92839;2,4167
201900049710;27;10;2019;15:00;93;93027;48,92852;2,41428
201900049701;3;11;2019;11:00;93;93027;48,92653;2,40393
201900049643;19;2;2019;17:45;93;93027;48,93808;2,41376
201900049642;19;2;2019;19:10;93;93027;48,92706;2,40572
201900049638;21;2;2019;11:30;93;93027;48,9226;2,37956
201900049089;6;12;2019;22:40;93;93027;48,92851;2,41308
201900049087;7;12;2019;06:00;93;93027;48,92853;2,41357
201900048263;27;9;2019;02:00;93;93027;48,92604;2,40157
201900047976;3;11;2019;07:02;93;93027;48,92651;2,41678
201900047917;1;11;2019;11:51;93;93027;48,92684;2,40276
201900047911;3;11;2019;10:10;93;93027;48,92847;2,41627
201900047909;3;11;2019;11:30;93;93027;48,92621;2,40041
201900047780;19;2;2019;19:00;93;93027;48,935512;2,387301
201900047778;22;2;2019;17:40;93;93027;48,92676;2,39428
201900046727;25;8;2019;13:20;93;93027;48,92848;2,41518
201900046405;27;9;2019;21:15;93;93027;48,92937;2,40287
201900046209;30;10;2019;14:05;93;93027;48,94157;2,3876
201900046157;1;11;2019;15:45;93;93027;48,92679;2,40321
201900046156;1;11;2019;13:45;93;93027;48,92819;2,41171
201900045441;7;12;2019;18:20;93;93027;48,93418;2,39493
201900045373;9;12;2019;07:58;93;93027;48,93204;2,40281
201900044725;28;9;2019;17:05;93;93027;48,92938;2,38691
201900044461;13;1;2019;21:50;93;93027;48,92601;2,41639
201900044165;1;3;2019;08:00;93;93027;48,92533;2,39382
201900044159;2;3;2019;18:10;93;93027;48,92353;2,38322
201900043804;3;5;2019;06:08;93;93027;48,927;2,3932
201900043803;5;5;2019;21:30;93;93027;48,92066;2,41084
201900043801;11;5;2019;09:17;93;93027;48,9315362;2,3796136
201900043796;21;5;2019;11:10;93;93027;48,91816;2,40793
201900043793;24;5;2019;17:15;93;93027;48,92335;2,3952
201900043792;26;5;2019;07:55;93;93027;48,927857;2,391119
