Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
201900000001;30;11;2019;01:30;4;93;93053;1;1;1;2;AUTOROUTE A3;48,8962100;2,4701200
201900000002;30;11;2019;02:50;3;93;93066;1;1;1;6;AUTOROUTE A1;48,9307000;2,3688000
201900000003;28;11;2019;15:15;1;92;92036;1;1;1;4;AUTOROUTE A86;48,9358718;2,3191744
201900000004;30;11;2019;20:20;5;94;94069;1;1;1;4;A4;48,8173295;2,4281502
201900000005;30;11;2019;04:00;3;94;94028;1;1;1;2;A86 INT;48,7763620;2,4332540
201900000006;28;11;2019;14:03;1;87;87085;1;3;2;3;FOCH (RUE DU MARECHAL);45,8469400;1,2338600
201900000007;28;11;2019;07:27;2;69;69092;2;1;8;2;BEAUJOLAIS (avenue du);46,0006600;4,7059900
201900000008;29;11;2019;16:40;2;38;38544;2;1;1;6;VICTOR HUGO(RUE);45,5221900;4,8748000
201900000009;28;11;2019;18:00;3;34;34129;1;1;1;5;PALAVAS D986 (ROUTE DE);43,5644580;3,8943420
201900000010;28;11;2019;14:50;1;13;13206;2;1;1;2;LOUIS SALVATOR (BOULEVARD);43,2911000;5,3818900
201900000011;28;11;2019;13:45;1;13;13206;2;1;1;6;BAILLE (BOULEVARD);43,2878990;5,3911700
201900000012;27;11;2019;18:15;4;93;93078;1;1;2;6;AUTOROUTE A104;48,9621900;2,5233300
201900000013;29;11;2019;16:50;1;988;98818;2;1;1;7;AVENUE JAMES COOK; -22,2658600;166,4164700
201900000014;29;11;2019;16:40;1;976;97611;2;9;2;3;m'tsapere-Macoco Mandzarsoa ( rue ); -12,7875500;45,2254300
201900000015;29;11;2019;08:10;1;974;97407;2;1;1;6;COMMUNE DE PARIS (AVENUE); -20,9430900;55,2923700
201900000016;29;11;2019;09:00;1;69;69386;2;1;8;6;GENERAL BROSSET (DU)                (AV);45,7670600;4,8577400
201900000017;29;11;2019;06:50;1;972;97209;2;1;1;6;GABARES (RUE DES);14,6030300; -61,0726400
201900000018;29;11;2019;18:30;5;69;69382;2;4;2;3;TREMIE N°6;45,7500800;4,8245600
201900000019;29;11;2019;14:10;1;69;69389;2;1;1;3;PAUL SEDAILLIAN                     (QU);45,7946300;4,8239200
