n_station;ad_station;code_insee;Xlongitude;Ylatitude
Savigny sur Orge;Place du 19 mars;9941600;2.350405;48.68808
Savigny sur Orge;Place du 19 mars;9941600;2.350405;48.68808
VILLENEUVE-LE -ROI;place de la gare;94290;2.425833;48.739834
VILLENEUVE-LE -ROI;AVE P-V COUTURIER;94290;2.421105;48.736504
VILLENEUVE-LE -ROI;AVE P-V COUTURIER;94290;2.421105;48.736504
VILLENEUVE-LE -ROI;place de la gare;94290;2.425833;48.739834
VIC DESSOS - Rue Grand Rd N°8 (Office Tourisme);Rue Grand Rd N°8 (Office Tourisme) 9220 VIC DESSOS;9334;1.4999;42.7683
VIC DESSOS - Rue Grand Rd N°8 (Office Tourisme);Rue Grand Rd N°8 (Office Tourisme) 9220 VIC DESSOS;9334;1.4999;42.7683
VARILHES - Avenue Des Pyrenees;Avenue Des Pyrenees 9120 VARILHES;9324;1.6292;43.0421
VARILHES - Avenue Des Pyrenees;Avenue Des Pyrenees 9120 VARILHES;9324;1.6292;43.0421
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828
TARASCON SUR ARIEGE - RN20;RN20 9400 TARASCON SUR ARIEGE;9306;1.599735;42.846806
TARASCON SUR ARIEGE - Place Du 19 Mars 1962;Place Du 19 Mars 1962 9400 TARASCON SUR ARIEGE;9306;1.603945;42.845215
TARASCON SUR ARIEGE - RN20;RN20 9400 TARASCON SUR ARIEGE;9306;1.599735;42.846806
TARASCON SUR ARIEGE - Place Du 19 Mars 1962;Place Du 19 Mars 1962 9400 TARASCON SUR ARIEGE;9306;1.603945;42.845215
SEIX - Avenue De La Baraque;Avenue De La Baraque 9140 SEIX;9285;1.203;42.864
SEIX - Avenue De La Baraque;Avenue De La Baraque 9140 SEIX;9285;1.203;42.864
SAVERDUN - Rue Du Moulin;Rue Du Moulin 9700 SAVERDUN;9282;1.575547;43.235805
SAVERDUN - Rue Du Moulin;Rue Du Moulin 9700 SAVERDUN;9282;1.575547;43.235805
SAVERDUN - Allée Du Girbet;Allée Du Girbet 9700 SAVERDUN;9282;1.574345;43.239875
SAVERDUN - Allée Du Girbet;Allée Du Girbet 9700 SAVERDUN;9282;1.574345;43.239875
SAINT LIZIER - Place Vigne De L'Eveche;Place Vigne De L'Eveche 9190 SAINT LIZIER;9268;1.1372;43.0006
SAINT LIZIER - Place Vigne De L'Eveche;Place Vigne De L'Eveche 9190 SAINT LIZIER;9268;1.1372;43.0006
SAINT JEAN DU FALGA - Rue De La Republique;Rue De La Republique 9100 SAINT JEAN DU FALGA;9265;1.6274;43.0866
SAINT JEAN DU FALGA - Rue De La Republique;Rue De La Republique 9100 SAINT JEAN DU FALGA;9265;1.6274;43.0866
SAINT GIRONS - Quai Du Gravier;Quai Du Gravier 9200 SAINT GIRONS;9261;1.143249;42.984822
SAINT GIRONS - Quai Du Gravier;Quai Du Gravier 9200 SAINT GIRONS;9261;1.143249;42.984822
SAINTE CROIX VOLVESTRE - Lenclos;Lenclos 9230 SAINTE CROIX VOLVESTRE;9257;1.170988;43.127138
SAINTE CROIX VOLVESTRE - Lenclos;Lenclos 9230 SAINTE CROIX VOLVESTRE;9257;1.170988;43.127138
RIMONT - D518-Route De La Gare;D518-Route De La Gare 9420 RIMONT;9246;1.279369;42.993833
RIMONT - D518-Route De La Gare;D518-Route De La Gare 9420 RIMONT;9246;1.279369;42.993833
PAILHES - Place Des Eglise;Place Des Eglise 9130 PAILHES;9244;1.4438;43.1018
PAILHES - Place Des Eglise;Place Des Eglise 9130 PAILHES;9244;1.4438;43.1018
LES PUJOLS - Av Des Guinguettes D119;Av Des Guinguettes D119 9100 LES PUJOLS;9238;1.721403;43.093078
LES PUJOLS - Av Des Guinguettes D119;Av Des Guinguettes D119 9100 LES PUJOLS;9238;1.721403;43.093078
PRAT - BONREPAUX - D 117;D 117 9160 PRAT - BONREPAUX;9235;1.020683;43.031134
PRAT - BONREPAUX - D 117;D 117 9160 PRAT - BONREPAUX;9235;1.020683;43.031134
PAMIERS - Boulevard Alsace Lorraine;Boulevard Alsace Lorraine 9100 PAMIERS;9225;1.614225;43.118466
PAMIERS - Boulevard Alsace Lorraine;Boulevard Alsace Lorraine 9100 PAMIERS;9225;1.614225;43.118466
PAMIERS - Place Sainte Helene;Place Sainte Helene 9100 PAMIERS;9225;1.614939;43.115495
PAMIERS - Boulevard Alsace Lorraine;Boulevard Alsace Lorraine 9100 PAMIERS;9225;1.614225;43.118466
PAMIERS - Boulevard Alsace Lorraine;Boulevard Alsace Lorraine 9100 PAMIERS;9225;1.614225;43.118466
PAMIERS - Place Des Héros De La Résistance;Place Des Héros De La Résistance 9100 PAMIERS;9225;1.611768;43.114578
PAMIERS - Place Des Héros De La Résistance;Place Des Héros De La Résistance 9100 PAMIERS;9225;1.611768;43.114578
PAMIERS - Place Sainte Helene;Place Sainte Helene 9100 PAMIERS;9225;1.614939;43.115495
MONTGAILHARD - 52 Route Nationale;52 Route Nationale 9330 MONTGAILHARD;9207;1.634;42.9337
MONTGAILHARD - 52 Route Nationale;52 Route Nationale 9330 MONTGAILHARD;9207;1.634;42.9337
MONTFERRIER - Place De L'Eglise;Place De L'Eglise 9300 MONTFERRIER;9206;1.795209;42.895385
MONTFERRIER - Place De L'Eglise;Place De L'Eglise 9300 MONTFERRIER;9206;1.795209;42.895385
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Moličre;Rue Moličre 92120 MONTROUGE;92049;2.315737;48.810812
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Rue Roger Salengro;Rue Roger Salengro 92120 MONTROUGE;92049;2.307365;48.812477
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MONTROUGE - Place Jules Ferry;Place Jules Ferry 92120 MONTROUGE;92049;2.322877;48.812693
MONTROUGE - Rue Sylvine Candas;Rue Sylvine Candas 92120 MONTROUGE;92049;2.317718;48.817506
MEUDON - Rue De Banes;Rue De Banes 92190 MEUDON;92048;2.240398306;48.80813013
MEUDON - Rue Saint-Exupéry;Rue Saint-Exupéry 92360 MEUDON;92048;2.2275335;48.7877864
MEUDON - Rue De Banes;Rue De Banes 92190 MEUDON;92048;2.240398306;48.80813013
MEUDON - Rue Saint-Exupéry;Rue Saint-Exupéry 92360 MEUDON;92048;2.2275335;48.7877864
MIREPOIX - Allee De Palafrugell;Allee De Palafrugell 9500 MIREPOIX;9194;1.875788;43.085014
MIREPOIX - Allee De Palafrugell;Allee De Palafrugell 9500 MIREPOIX;9194;1.875788;43.085014
MAZERES - Boulevard Des Comtes;Boulevard des Comtes de Foix   9270 MAZERES;9185;1.678032;43.24959
MAZERES - Parking Lotissement Du Collège, Chemin Couloumié;Parking Lotissement Du Collège, Chemin Couloumié 9270 MAZERES;9185;1.675962;43.243827
MAZERES - Parking Lotissement Du Collège, Chemin Couloumié;Parking Lotissement Du Collège, Chemin Couloumié 9270 MAZERES;9185;1.675962;43.243827
MAZERES - Boulevard Des Comtes;Boulevard des Comtes de Foix   9270 MAZERES;9185;1.678032;43.24959
MASSAT - Place De L'Eglise;Place De L'Eglise 9320 MASSAT;9182;1.347092;42.889115
MASSAT - Place De L'Eglise;Place De L'Eglise 9320 MASSAT;9182;1.347092;42.889115
LE MAS D'AZIL - Mairie;Mairie 9290 LE MAS D'AZIL;9181;1.361601;43.079295
LE MAS D'AZIL - Mairie;Mairie 9290 LE MAS D'AZIL;9181;1.361601;43.079295
BOUSSY SAINT ANTOINE;COURS NEUENHAUS;91800;2.529486;48.690033
BOUSSY SAINT ANTOINE;COURS NEUENHAUS;91800;2.529486;48.690033
SOISY SUR SEINE;RUE DES CHENNEVIERES;91800;2.452938;48.645653
SOISY SUR SEINE;RUE DES CHENNEVIERES;91800;2.452938;48.645653
LUZENAC - Rue Principale;Rue Principale 9250 LUZENAC;9176;1.760866;42.761573
LUZENAC - Rue Principale;Rue Principale 9250 LUZENAC;9176;1.760866;42.761573
LEZAT SUR LEZE - Boulodrome Boulevard Pasteur;Boulodrome Boulevard Pasteur 9210 LEZAT SUR LEZE;9167;1.347894;43.277538
LEZAT SUR LEZE - Place De La Marne;Place De La Marne 9210 LEZAT SUR LEZE;9167;1.349107;43.274894
LEZAT SUR LEZE - Place De La Marne;Place De La Marne 9210 LEZAT SUR LEZE;9167;1.349107;43.274894
LEZAT SUR LEZE - Boulodrome Boulevard Pasteur;Boulodrome Boulevard Pasteur 9210 LEZAT SUR LEZE;9167;1.347894;43.277538
Savigny sur Orge;AVe DES MARRONNIERS;91600;2.349825;48.69627
Savigny sur Orge;RUE MARIE CHAUVET;91600;2.344139;48.679611
Savigny sur Orge;AVENUE JOYEUSE;91600;2.360361;48.689583
Savigny sur Orge;Ave DE L’ARMEE LECLERC;91600;2.337194;48.688389
Savigny sur Orge;AVE  HENRI BARBUSSE;91600;2.341583;48.67886
Savigny sur Orge;AVe DES MARRONNIERS;91600;2.349825;48.69627
Savigny sur Orge;AVE  HENRI BARBUSSE;91600;2.341583;48.67886
Savigny sur Orge;Ave DE L’ARMEE LECLERC;91600;2.337194;48.688389
Savigny sur Orge;PLACE DAVOUT;91600;2.352806;48.674721
Savigny sur Orge;AVENUE JOYEUSE;91600;2.360361;48.689583
Savigny sur Orge;RUE MARIE CHAUVET;91600;2.344139;48.679611
Savigny sur Orge;PLACE DAVOUT;91600;2.352806;48.674721
LAVELANET - Avenue Alsace Lorraine;Avenue Alsace Lorraine 9300 LAVELANET;9160;1.854863;42.940406
LAVELANET - Place Jeanne D'Arc;Place Jeanne D'Arc 9300 LAVELANET;9160;1.850334;42.935415
LAVELANET - Avenue Alsace Lorraine;Avenue Alsace Lorraine 9300 LAVELANET;9160;1.854863;42.940406
LAVELANET - Place Jeanne D'Arc;Place Jeanne D'Arc 9300 LAVELANET;9160;1.850334;42.935415
LAVELANET - Place Jeanne D'Arc;Place Jeanne D'Arc 9300 LAVELANET;9160;1.850334;42.935415
LAVELANET - Place Jeanne D'Arc;Place Jeanne D'Arc 9300 LAVELANET;9160;1.850334;42.935415
LAROQUE D'OLMES - Square Georges Clemenceau;Square Georges Clemenceau 9600 LAROQUE D'OLMES;9157;1.866233;42.968805
LAROQUE D'OLMES - Square Georges Clemenceau;Square Georges Clemenceau 9600 LAROQUE D'OLMES;9157;1.866233;42.968805
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
P2;Parking P2, Aéroport de Orly;91479;2.361717;48.729857
EPINAY SUR ORGE;RUE DE LA CROIX RONDE;91360;2.315167;48.674194
EPINAY SUR ORGE;RUE DE LA CROIX RONDE;91360;2.315083;48.674168
EPINAY SUR ORGE;RUE PASTEUR;91360;2.331944;48.669056
EPINAY SUR ORGE;RUE DE LA CROIX RONDE;91360;2.315167;48.674194
EPINAY SUR ORGE;RUE PASTEUR;91360;2.331944;48.669056
EPINAY SUR ORGE;RUE DE LA CROIX RONDE;91360;2.315083;48.674168
GRIGNY;RUE HENRI ROL TANGUY;91350;2.386389;48.653721
GRIGNY;SITE DES AIGLONS;91350;2.383694;48.659805
GRIGNY;PROMENADE DU CANAL;91350;2.382778;48.65414
GRIGNY;RUE HENRI ROL TANGUY;91350;2.386389;48.653721
GRIGNY;SQUARE PIKETTY;91350;2.386056;48.655582
GRIGNY;PROMENADE DU CANAL;91350;2.382778;48.65414
GRIGNY;SQUARE PIKETTY;91350;2.386056;48.655582
GRIGNY;SITE DES AIGLONS;91350;2.383694;48.659805
GRIGNY;RUE DU TERRIER;91350;2.368528;48.647415
GRIGNY;RUE DU TERRIER;91350;2.368528;48.647415
Yerres;RUE DU MONT GRIFFON;91330;2.492088;48.719181
Yerres;RUE DU MONT GRIFFON;91330;2.492088;48.719181
Villeneuve le Roi;Eugenie le Guillermic;91270;2.425833;48.739834
Villeneuve le Roi;Eugenie le Guillermic;91270;2.425833;48.739834
JUVISY SUR ORGE;PLACE ANATOLE France;91260;2.375695;48.689056
JUVISY SUR ORGE;RUE MONTTESSUY;91260;2.384583;48.688278
JUVISY SUR ORGE;RUE MONTTESSUY;91260;2.384583;48.688278
JUVISY SUR ORGE;ALLEE JEAN MOULIN;91260;2.376556;48.691723
JUVISY SUR ORGE;PLACE ANATOLE France;91260;2.375695;48.689056
JUVISY SUR ORGE;ALLEE JEAN MOULIN;91260;2.376556;48.691723
SAINT MICHEL SUR ORGE;ALLEE DES PRAIRIES;91240;2.29927;48.634766
SAINT MICHEL SUR ORGE;ALLEE DES PRAIRIES;91240;2.29927;48.634766
SAINT MICHEL SUR ORGE;RUE GAMBETTA;91240;2.309117;48.636143
SAINT MICHEL SUR ORGE;RUE GAMBETTA;91240;2.309117;48.636143
LE FOSSAT - Versailles;Versailles 9130 LE FOSSAT;9124;1.406907;43.175138
LE FOSSAT - Versailles;Versailles 9130 LE FOSSAT;9124;1.406907;43.175138
MONTGERON;AVENUE DE LA REPUBLIQUE;91230;2.450194;48.710804
MONTGERON;AVENUE DE LA REPUBLIQUE;91230;2.450194;48.710804
MONTGERON;AVENUE DE LA REPUBLIQUE;91230;2.450222;48.710751
MONTGERON;AVENUE DE LA REPUBLIQUE;91230;2.450222;48.710751
Brétigny sur Orge;RUE LUCIEN BOUGET;91220;2.305201;48.610924
Brétigny sur Orge;RUE GEORGES CHARPAK;91220;2.299028;48.605446
Brétigny sur Orge;RUE GEORGES CHARPAK;91220;2.299028;48.605446
Brétigny sur Orge;RUE HENRI DOUARD;91220;2.310561;48.609901
Brétigny sur Orge;RUE HENRI DOUARD;91220;2.310561;48.609901
Brétigny sur Orge;RUE LUCIEN BOUGET;91220;2.305201;48.610924
Brétigny sur Orge;CHEMIN DE LA TUILERIE;91220;2.307583;48.617554
Brétigny sur Orge;CHEMIN DE LA TUILERIE;91220;2.307583;48.617554
FOIX - Parking Gare Multimodale;Parking Gare Multimodale 9000 FOIX;9122;1.60735;42.971553
FOIX - Allee De Gabriel Villote Fauré;Allee De Gabriel Villote Fauré 9000 FOIX;9122;1.609526;42.964367
