noFinesset,title,capacity,postcode,city
970463063,Maison de retraite Saint-Joseph,80,97480,ST JOSEPH
970406567,EHPAD Les Hibiscus,28,97470,ST BENOIT
970466652,EHPAD Le Moutardier,66,97470,ST BENOIT
970402673,EHPAD Résidence les Alizés,90,97460,ST PAUL
970406013,EHPAD Résidence Marie Françoise Dupuis,109,97460,ST PAUL
970463055,EHPAD Gabriel Martin,60,97460,ST PAUL
970410197,EHPA OCEANE,20,97460,ST PAUL
970431144,EHPA Foyer de la Clémence,32,97460,ST PAUL
970463048,EHPAD Groupe hospitalier Sud-Reunion,50,97450,ST LOUIS
970463659,GHER-SLD Saint-André,0,97440,ST ANDRE
970430872,EHPAD Village 3ème âge,95,97440,ST ANDRE
970407979,EHPA RESIDENCE LA MISERICORDE,24,97438,STE MARIE
970406948,EHPA Maison Notre-Dame de la Paix,12,97436,ST LEU
970463436,USLD du Tampon,0,97430,LE TAMPON
970403622,EHPAD Les Lataniers,91,97419,LA POSSESSION
970406880,EHPAD Bras Long,80,97414,ENTRE DEUX
970410098,Résidence Asteria,14,97412,BRAS PANON
970407201,Résidence Saint-Pierre,80,97410,ST PIERRE
970406898,EHPAD de la Ravine-blanche,105,97410,ST PIERRE
970430823,EHPAD Bois d'Olives,105,97410,ST PIERRE
970431151,EHPA Foyer du Sacré Coeur,58,97410,ST PIERRE
970430971,EHPAD Saint François d'Assise,80,97400,ST DENIS
970406021,EHPAD Résidence Sainte-Clotilde ,80,97400,ST DENIS
970410072,EHPAD Résidence Aude,61,97400,ST DENIS
970466256,EHPAD Résidence Astéria,85,97400,ST DENIS
970466728,EHPAD Clovis Hoarau,96,97400,ST DENIS
970411427,EHPA Résidence Aude,24,97400,ST DENIS
970302691,Foyer-Logement Résidence soleil des ames claires,42,97354,REMIRE MONTJOLY
970302683,EHPAD du Centre hospitalier de l'Ouest-Guyanais,47,97320,ST LAURENT DU MARONI
970302709,Foyer-Logement Galmot,44,97300,CAYENNE
970302014,EHPAD Saint-Paul,44,97300,CAYENNE
970303822,EHPAD L'Ebène,38,97300,CAYENNE
970302287,EHPAD Edmard Lama de Cayenne,70,97300,CAYENNE
970300026,Centre hospitalier Andrée Rosemon ,0,97300,CAYENNE
970203782,EHPAD du Centre hospitalier du Marin,80,97290,LE MARIN
970204194,EHPAD du Centre hospitalier,33,97270,ST ESPRIT
970210332,EHPAD Résidence Floréa de Saint Esprit,40,97270,ST ESPRIT
970211181,EHPAD du Prêcheur,40,97250,LE PRECHEUR
970202982,EHPAD Les Gliricidias,92,97240,LE FRANCOIS
970204202,EHPAD Centre hospitalier du François,64,97240,LE FRANCOIS
970209029,EHPAD Terrevillage,96,97233,SCHOELCHER
970203030,EHPAD Résidence Bethléem,39,97233,SCHOELCHER
970211421,USLD Mangot Vulcin Hôpital du Lamentin,0,97232,LE LAMENTIN
970203477,FOYER DE TABITHA,15,97232,LE LAMENTIN
970208948,EHPAD Résidence l'Orchidée,48,97232,LE LAMENTIN
970203063,EHPAD Henri Bourgeois,94,97232,LE LAMENTIN
970202230,EHPAD Les Filaos Marcel Hardy,65,97231,LE ROBERT
970204327,EHPAD des Trois-Ilets,40,97229,LES TROIS ILETS
970212882,Centre d'accueil de jour Yaya - ASSCAM,16,97228,STE LUCE
970209763,EHPAD Résidence Marie-Olga Ancet,60,97224,DUCOS
970203360,Résidence Casimir Léotin,42,97221,LE CARBET
970206330,EHPAD Le Temps de Vivre,40,97221,LE CARBET
970212866,Accueil de jour Nord Caraïbe - ASAMAD,12,97221,LE CARBET
970211413,USLD de l'hôpital Louis Domergue de Trinité,0,97220,LA TRINITE
970206140,EHPAD Résidence Sénior Le Beau Séjour,63,97220,LA TRINITE
970203519,EHPAD de Basse Pointe,12,97218,BASSE POINTE
970203048,EHPAD Les Madrépores,50,97217,LES ANSES D ARLET
970203022,EHPAD Le logis Saint-Jean,66,97215,RIVIERE SALEE
970210696,CAJ Manman Fanotte - A.Pro.Qua.Vie,12,97214,LE LORRAIN
970210373,EHPAD Résidence Sainte-Hildegarde,50,97213,GROS MORNE
970204293,EHPAD Romain Blondet,16,97212,ST JOSEPH
970210662,Centre d'accueil de jour La gout' d'élixir,12,97212,ST JOSEPH
970211389,USLD Emma Ventura du Centre hospitalier,0,97200,FORT DE FRANCE
970209128,RÉSIDENCE DE L'ÂGE D'OR,24,97200,FORT DE FRANCE
970206363,RESIDENCE LE FLAMBOYANT,12,97200,FORT DE FRANCE
970203600,LA JOIE DE VIVRE,13,97200,FORT DE FRANCE
970203808,Foyer-Logement Yole Gran Moun,20,97200,FORT DE FRANCE
970206397,FAMILY HOME DOMAINE LES POIRIERS,8,97200,FORT DE FRANCE
970208856,EHPAD Résidence L'Oasis,109,97200,FORT DE FRANCE
