id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;NBobs_maille;NBobs_commune
1918;64243;G�us-d'Arzacq;64;75;200067239;maille;10,36230193;8,363784828;12,83836248;0,84417587;524;0
1994;64244;Ge�s-d'Oloron;64;75;200067262;maille;8,439748414;6,257090268;11,38378228;0,651305455;657;2
1705;64245;Go�s;64;75;200067262;maille;8,421735411;6,650378064;10,66490155;0,613823199;993;3
1834;64246;Gomer;64;75;200067296;epci;9,146075334;7,091392509;11,79608855;0,726179325;765;0
1994;64247;Gotein-Libarrenx;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;4
1405;64249;Gu�thary;64;75;200067106;commune;12,86134014;10,20082386;16,21575594;0,78426615;2026;210
1934;64250;Guiche;64;75;200067106;maille;8,678543584;6,955212258;10,82887422;0,762944832;2036;23
1994;64251;Guinarthe-Parenties;64;75;200067288;epci;7,852653875;5,838919771;10,56088717;0,651305455;657;2
1809;64252;Gurmen�on;64;75;200067262;epci;8,556396081;6,347475003;11,53402162;0,608114188;922;15
1994;64253;Gurs;64;75;200067288;epci;7,852653875;5,838919771;10,56088717;0,651305455;657;3
1887;64254;Hagetaubin;64;75;200039204;maille;7,870065337;5,993167722;10,33475639;0,607163385;1024;1
2544;64255;Halsou;64;75;200067106;maille;11,39822144;9,711757628;13,37754266;0,821628926;934;38
490;64256;Hasparren;64;75;200067106;commune;10,28331967;8,631928161;12,2506422;0,797859551;1122;1097
1809;64257;Haut-de-Bosdarros;64;75;246401756;maille;7,78000717;5,771783483;10,4869685;0,608114188;922;0
1809;64258;Haux;64;75;200067106;epci;7,495623226;5,556908799;10,11072335;0,608114188;922;0
2509;64259;H�lette;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;25
1107;64260;Hendaye;64;75;200067106;commune;12,13548554;9,645046093;15,2689793;0,712190089;1648;1648
1705;64261;Herr�re;64;75;200067262;maille;8,421735411;6,650378064;10,66490155;0,613823199;993;5
1834;64262;Higu�res-Souye;64;75;200067296;epci;9,146075334;7,091392509;11,79608855;0,726179325;765;1
1994;64263;L'H�pital-d'Orion;64;75;200067288;epci;7,852653875;5,838919771;10,56088717;0,651305455;657;0
1994;64264;L'H�pital-Saint-Blaise;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;0
1994;64265;Hosta;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;1
1834;64266;Hours;64;75;200067296;epci;9,146075334;7,091392509;11,79608855;0,726179325;765;0
1994;64267;Ibarrolle;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;0
1994;64268;Idaux-Mendy;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;3
2699;64269;Idron;64;75;200067254;commune;10,93290321;9,010524579;13,26541774;0,806224;863;182
1726;64270;Igon;64;75;246401756;maille;9,829359197;7,633595708;12,65672246;0,697910995;853;4
2509;64271;Iholdy;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;13
2371;64272;Ilharre;64;75;200067106;maille;7,75765635;6,135805999;9,808203202;0,774244051;520;2
2509;64273;Irissarry;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;42
2509;64274;Iroul�guy;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;9
2509;64275;Ispoure;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;27
1809;64276;Issor;64;75;200067262;epci;8,556396081;6,347475003;11,53402162;0,608114188;922;0
1994;64277;Isturits;64;75;200067106;epci;8,016683564;5,942017726;10,81572259;0,651305455;657;12
2509;64279;Itxassou;64;75;200067106;commune;10,35351179;8,150645288;13,15174475;0,699552484;1013;130
1809;64280;Izeste;64;75;246400337;epci;8,545222751;6,340844183;11,515948;0,608114188;922;44
1994;64281;Jasses;64;75;200067288;epci;7,852653875;5,838919771;10,56088717;0,651305455;657;1
2544;64282;Jatxou;64;75;200067106;maille;11,39822144;9,711757628;13,37754266;0,821628926;934;36
2509;64283;Jaxu;64;75;200067106;maille;8,016452223;6,309719876;10,18484299;0,699552484;1013;10
