id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
1007;62608;Neuville-Bourjonval;62;32;200035442;maille;6,533696093;5,300385329;8,053977586;0,683524641;528;6
578;62609;Neuville-Saint-Vaast;62;32;200033579;maille;8,242692355;6,810137717;9,976593731;0,693246521;567;29
664;62610;Neuville-sous-Montreuil;62;32;200069029;maille;7,902172808;6,455943986;9,672378699;0,787114961;580;32
578;62611;Neuville-Vitasse;62;32;200033579;maille;8,242692355;6,810137717;9,976593731;0,693246521;567;16
772;62612;Neuvireuil;62;32;200044048;maille;8,269682938;6,730386371;10,16102971;0,775338758;714;19
550;62613;Nielles-l�s-Bl�quin;62;32;246201016;epci;6,566889983;5,378665653;8,017610098;0,591921888;1144;28
1502;62614;Nielles-l�s-Ardres;62;32;200072478;maille;7,074841652;5,871200954;8,525237816;0,728997164;630;13
1295;62615;Nielles-l�s-Calais;62;32;246201149;maille;8,351809128;6,743484781;10,3437196;0,771254523;608;4
721;62616;Noeux-l�s-Auxi;62;32;200069672;epci;7,085288029;5,804085342;8,64930536;0,654107347;942;2
1705;62617;Noeux-les-Mines;62;32;200072460;commune;7,735997336;6,342685614;9,435380913;0,649872083;511;264
1239;62618;Nordausques;62;32;200069037;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;54
1007;62619;Noreuil;62;32;200035442;maille;6,533696093;5,300385329;8,053977586;0,683524641;528;0
791;62620;Norrent-Fontes;62;32;200072460;epci;6,912759931;5,545391035;8,617291291;0,595516092;591;49
464;62621;Nortkerque;62;32;246200844;maille;7,962826084;6,60520143;9,599495173;0,698380416;1424;34
1239;62622;Nort-Leulinghem;62;32;200069037;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;11
1239;62623;Nouvelle-�glise;62;32;246200844;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;23
1315;62624;Noyelles-Godault;62;32;246200299;commune;7,986016516;6,593593927;9,672488251;0,702328769;967;104
791;62625;Noyelles-l�s-Humi�res;62;32;200044030;epci;6,311208778;5,06140658;7,869621934;0,595516092;591;0
1267;62626;Noyelles-l�s-Vermelles;62;32;200072460;maille;7,718112592;6,358911164;9,367839942;0,666122925;492;35
772;62627;Noyelles-sous-Bellonne;62;32;200044048;maille;8,269682938;6,730386371;10,16102971;0,775338758;714;14
797;62628;Noyelles-sous-Lens;62;32;246200364;maille;7,706922341;6,139490023;9,674525367;0,69998555;699;88
1032;62629;Noyellette;62;32;200069482;maille;7,005051986;5,599199188;8,763887778;0,720600719;567;0
1032;62630;Noyelle-Vion;62;32;200069482;maille;7,005051986;5,599199188;8,763887778;0,720600719;567;6
721;62631;Nuncq-Hautec�te;62;32;200069672;epci;7,085288029;5,804085342;8,64930536;0,654107347;942;10
1331;62632;Oblinghem;62;32;200072460;maille;7,173426718;5,860518985;8,780459719;0,669921184;499;5
703;62633;Oeuf-en-Ternois;62;32;200069672;maille;6,501976173;5,386702992;7,848157624;0,805898207;662;6
1239;62634;Offekerque;62;32;246200844;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;44
536;62635;Offin;62;32;200044030;epci;6,802393825;5,525065093;8,375025627;0,721642099;750;5
1295;62636;Offrethun;62;32;246200380;maille;8,351809128;6,743484781;10,3437196;0,771254523;608;4
255;62637;Oignies;62;32;246200299;maille;7,332955211;5,918686438;9,085163185;0,618523169;1038;88
913;62638;Oisy-le-Verger;62;32;200044048;maille;7,207865496;5,791136062;8,97118017;0,710431166;583;47
772;62639;Oppy;62;32;200044048;maille;8,269682938;6,730386371;10,16102971;0,775338758;714;24
721;62640;Orville;62;32;200069482;epci;7,406835531;6,069570041;9,038731281;0,654107347;942;3
1265;62641;Ostreville;62;32;200069672;maille;6,849670689;5,469969085;8,577377278;0,671408594;530;4
703;62642;Ourton;62;32;200072460;maille;6,501976173;5,386702992;7,848157624;0,805898207;662;44
1709;62643;Outreau;62;32;246200729;commune;8,225703854;6,573958324;10,29246012;0,721222523;791;174
550;62644;Ouve-Wirquin;62;32;246201016;epci;6,566889983;5,378665653;8,017610098;0,591921888;1144;10
1239;62645;Oye-Plage;62;32;246200844;commune;8,413949525;6,853120604;10,33026423;0,667998302;687;149
1688;62646;Palluel;62;32;200044048;maille;7,511901333;6,068068835;9,299278431;0,692369393;550;25
743;62647;Le Parcq;62;32;200044030;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;23
664;62648;Parenty;62;32;200069235;maille;7,902172808;6,455943986;9,672378699;0,787114961;580;18
1032;62649;Pas-en-Artois;62;32;200069482;maille;7,005051986;5,599199188;8,763887778;0,720600719;567;29
578;62650;Pelves;62;32;200044048;maille;8,242692355;6,810137717;9,976593731;0,693246521;567;17
703;62651;Penin;62;32;200069482;maille;6,501976173;5,386702992;7,848157624;0,805898207;662;22
1265;62652;Pernes;62;32;200069672;commune;6,875323515;5,492454051;8,606366663;0,671408594;530;104
1295;62653;Pernes-l�s-Boulogne;62;32;246200729;maille;8,351809128;6,743484781;10,3437196;0,771254523;608;11
1253;62654;Peuplingues;62;32;200072478;maille;7,870113988;6,445955231;9,608924039;0,713576111;520;82
791;62655;Pierremont;62;32;200069672;epci;6,50608998;5,213470777;8,119199021;0,595516092;591;2
969;62656;Pihem;62;32;246201016;maille;6,853277882;5,711692903;8,223029235;0,737782245;527;56
1295;62657;Pihen-l�s-Gu�nes;62;32;200072478;maille;8,351809128;6,743484781;10,3437196;0,771254523;608;33
1295;62658;Pittefaux;62;32;246200729;maille;8,351809128;6,743484781;10,3437196;0,771254523;608;3
743;62659;Planques;62;32;200069235;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;4
772;62660;Plouvain;62;32;200044048;maille;8,269682938;6,730386371;10,16102971;0,775338758;714;5
536;62661;Bouin-Plumoison;62;32;200044030;epci;6,802393825;5,525065093;8,375025627;0,721642099;750;18
1239;62662;Polincove;62;32;246200844;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;30
721;62663;Pommera;62;32;200069482;epci;7,406835531;6,069570041;9,038731281;0,654107347;942;13
1032;62664;Pommier;62;32;200069482;maille;7,005051986;5,599199188;8,763887778;0,720600719;567;4
1060;62665;Le Ponchel;62;32;200069672;maille;6,628188548;5,593785605;7,853873303;0,70931148;851;0
1741;62666;Pont-�-Vendin;62;32;246200364;maille;7,611507657;6,255577921;9,261342365;0,693571915;479;71
1709;62667;Le Portel;62;32;246200729;commune;8,105183873;6,472863023;10,14914195;0,721222523;791;125
743;62668;Pr�defin;62;32;200069672;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;2
1265;62669;Pressy;62;32;200069672;maille;6,849670689;5,469969085;8,577377278;0,671408594;530;6
664;62670;Preures;62;32;200069235;maille;7,902172808;6,455943986;9,672378699;0,787114961;580;39
1007;62671;Pronville;62;32;200044048;maille;6,533696093;5,300385329;8,053977586;0,683524641;528;26
630;62672;Puisieux;62;32;200035442;epci;7,049896941;5,580098088;8,90684108;0,652542149;674;5
980;62673;Qu�ant;62;32;200044048;maille;6,945813404;5,718650712;8,436312387;0,698864243;525;19
1239;62674;Quelmes;62;32;246201016;maille;7,693865681;6,282681649;9,4220227;0,667998302;687;31
647;62675;Quercamps;62;32;246201016;maille;7,556694173;6,049292706;9,439719584;0,78390204;573;13
791;62676;Quernes;62;32;200072460;epci;6,912759931;5,545391035;8,617291291;0,595516092;591;17
743;62677;Le Quesnoy-en-Artois;62;32;200044030;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;3
647;62678;Quesques;62;32;200018083;maille;7,556694173;6,049292706;9,439719584;0,78390204;573;8
647;62679;Questrecques;62;32;200018083;maille;7,556694173;6,049292706;9,439719584;0,78390204;573;5
772;62680;Qui�ry-la-Motte;62;32;200044048;maille;8,269682938;6,730386371;10,16102971;0,775338758;714;30
969;62681;Quiest�de;62;32;200069037;maille;6,853277882;5,711692903;8,223029235;0,737782245;527;13
550;62682;Quilen;62;32;200069235;epci;6,150442174;5,036880491;7,510191874;0,591921888;1144;3
743;62683;Quoeux-Haut-Ma�nil;62;32;200069672;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;0
482;62684;Racquinghem;62;32;200069037;maille;7,430325142;6,023521931;9,1656895;0,606151903;517;81
550;62685;Radinghem;62;32;200069235;epci;6,150442174;5,036880491;7,510191874;0,591921888;1144;10
703;62686;Ramecourt;62;32;200069672;maille;6,501976173;5,386702992;7,848157624;0,805898207;662;7
664;62688;Rang-du-Fliers;62;32;200069029;commune;9,050142338;7,3877006;11,08668052;0,787114961;580;119
630;62689;Ransart;62;32;200033579;epci;7,761770543;6,149799821;9,79626715;0,652542149;674;13
743;62690;Raye-sur-Authie;62;32;200044030;maille;6,133891275;5,039217853;7,4663615;0,674115456;1046;5
969;62691;Saint-Augustin;62;32;200069037;maille;6,853277882;5,711692903;8,223029235;0,737782245;527;7
1502;62692;Rebergues;62;32;246201016;maille;7,074841652;5,871200954;8,525237816;0,728997164;630;3
