codgeo;population_totale;pop_60ansetplus
76735;602;254
76737;614;122
76740;571;89
76751;1301;302
76752;2365;812
76758;11390;3217
77001;1139;238
77007;387;74
77009;125;38
77013;357;80
77015;96;21
77018;7523;477
77021;146;29
77022;1156;489
77027;1076;226
77029;206;42
77033;248;43
77035;557;133
77045;707;193
77046;350;87
77057;526;70
77065;1141;274
77073;582;165
77078;1281;295
77081;726;133
77089;965;216
77099;2765;768
77103;217;43
77119;270;57
77121;3412;549
77124;1655;469
77127;1656;267
77138;519;110
77142;4329;908
77143;4726;609
77147;673;173
77148;1892;307
77151;306;65
77153;9549;1424
77157;298;46
77169;7633;1072
77172;905;249
77179;580;116
77191;1070;182
77195;578;127
77199;1284;238
77209;1133;279
77216;1414;323
77221;1143;279
77227;641;141
77237;672;143
77238;3895;635
77246;592;115
77255;2000;626
77256;185;44
77259;2414;359
77260;1763;408
77261;1259;318
77268;8394;484
77269;1651;388
77271;131;37
77282;340;42
77292;1125;162
77298;456;117
77305;18972;3454
77319;150;27
77321;729;195
77322;3052;448
77332;270;34
77335;2321;354
77337;15160;2800
77349;6702;1162
77360;400;63
77367;271;37
77370;804;260
77374;2222;406
77378;2924;705
77380;318;56
77389;3264;754
77394;2070;612
77395;124;35
77407;14152;2819
77409;2775;609
77410;736;104
77416;238;36
77426;354;70
77432;978;215
77434;355;120
77438;6284;952
77457;1235;252
77461;288;63
77463;3488;922
77474;672;93
77481;181;26
77482;3408;886
77486;894;137
77487;11025;2498
77493;3226;529
77506;728;162
77507;435;114
77508;1833;352
77510;776;137
77514;26008;4105
77519;1182;265
77522;295;74
77526;296;28
77527;605;101
78013;474;88
78068;860;192
78070;294;70
78071;610;121
78072;291;71
78092;8713;1832
78146;30878;6539
78158;31024;8855
78160;5489;1303
78185;381;137
78196;310;66
78209;879;205
78220;6674;1478
78224;4539;1276
78227;781;195
78233;2862;719
78236;594;112
78255;4458;940
78278;512;109
78297;28045;3336
78321;5339;1178
78325;607;136
78327;3758;830
78334;1603;484
78337;1940;431
78344;675;120
78368;1682;471
78372;15989;4255
78380;5699;1368
78402;3656;665
78404;249;66
78406;244;91
78415;512;112
78443;953;156
78455;7545;2152
78472;334;63
78474;829;111
78475;357;83
78528;397;103
78557;907;209
78559;426;71
78575;7315;1931
78591;2186;493
78601;1622;347
78618;534;119
78623;824;227
78624;11505;2468
78640;20981;4874
78646;82182;18228
78647;828;233
79008;802;220
79014;2651;784
79019;172;63
79022;196;82
79025;1155;289
79032;635;116
79042;179;52
79048;5502;1479
79050;614;143
79066;1462;457
79070;400;91
79076;1906;554
79090;741;233
79095;591;210
79100;2209;654
79103;2389;721
79117;623;96
79121;427;87
79125;1789;412
79126;446;103
79137;905;218
79139;57;18
79144;366;86
79149;153;41
79161;631;138
79163;546;198
79164;255;48
79179;4914;1418
79198;262;90
79200;277;67
79207;638;139
79213;1977;726
79225;337;103
79238;551;151
79253;706;192
79255;404;143
79270;5811;1757
79281;1289;292
79306;194;40
79310;520;131
79312;115;34
79313;608;138
79316;434;93
79329;13688;4847
79335;795;189
79336;225;95
79337;876;257
79349;152;77
79351;1729;336
79352;160;48
79355;3265;902
80003;580;133
80005;95;27
80015;68;19
80018;260;87
80019;797;210
80028;166;36
80034;527;139
80040;181;57
80049;189;49
80056;116;18
80062;1415;446
80064;182;28
80068;230;67
80074;125;32
80088;353;66
80093;1161;254
80096;971;299
80097;125;40
80103;67;18
80108;80;21
80109;360;137
80115;298;76
80124;696;239
80128;154;34
80133;243;75
80145;140;31
80149;515;170
80151;310;71
80155;299;76
80166;705;133
80172;527;159
80195;154;42
80199;558;123
80201;49;16
80203;88;26
80211;1612;357
80212;5825;1536
80214;339;60
80220;101;31
80223;113;22
80226;288;69
80229;338;84
80243;49;15
80244;180;58
80248;406;139
80250;349;62
80253;5866;1556
80259;99;39
80264;80;33
80268;555;190
80269;132;32
80270;5;4
80271;1104;274
80273;370;91
80274;1825;510
80278;186;45
80287;244;68
80295;587;138
80296;1218;322
80300;148;45
80303;462;159
80325;52;10
80328;514;153
80340;189;53
80343;183;28
80348;171;43
80355;105;22
80378;62;21
80387;313;60
80393;310;67
